id|name|type|population2025|population2035|lat|lng|departmentId|departmentName
15572|Puerto Boyacá|municipio|51143|54793|5.953466654|-74.4528581|15|Boyacá
15580|Quípama|municipio|5308|5720|5.595729831|-74.26857067|15|Boyacá
15599|Ramiriquí|municipio|10743|11536|5.319934092|-73.310779|15|Boyacá
15600|Ráquira|municipio|8618|9267|5.496268621|-73.62894438|15|Boyacá
15621|Rondón|municipio|2564|2750|5.379947879|-73.19650995|15|Boyacá
15632|Saboyá|municipio|14765|15888|5.699926051|-73.74799466|15|Boyacá
15638|Sáchica|municipio|5989|6392|5.573464882|-73.543102|15|Boyacá
15646|Samacá|municipio|20038|21518|5.47053997|-73.5211756|15|Boyacá
15660|San Eduardo|municipio|1793|1910|5.234614686|-73.04914067|15|Boyacá
15664|San José de Pare|municipio|5380|5776|5.994154088|-73.54386522|15|Boyacá
15667|San Luis de Gaceno|municipio|5919|6372|4.798203543|-73.13397018|15|Boyacá
15673|San Mateo|municipio|3606|3862|6.395388812|-72.55184862|15|Boyacá
15676|San Miguel de Sema|municipio|3228|3471|5.532326922|-73.74715898|15|Boyacá
15681|San Pablo de Borbur|municipio|7166|7710|5.677345066|-74.11403749|15|Boyacá
15686|Santana|municipio|8230|8847|6.057614971|-73.48974828|15|Boyacá
15690|Santa María|municipio|3767|4039|4.823002556|-73.25377506|15|Boyacá
15693|Santa Rosa de Viterbo|municipio|14257|15321|5.892950301|-72.9917278|15|Boyacá
15696|Santa Sofía|municipio|3442|3694|5.731602716|-73.60366287|15|Boyacá
15720|Sativanorte|municipio|2347|2515|6.13211793|-72.73032415|15|Boyacá
15723|Sativasur|municipio|1177|1245|6.083405978|-72.72410815|15|Boyacá
15740|Siachoque|municipio|7275|7835|5.498747701|-73.21681778|15|Boyacá
15753|Soatá|municipio|9597|10273|6.323088045|-72.69604089|15|Boyacá
15755|Socotá|municipio|7770|8332|5.906513772|-72.53646361|15|Boyacá
15757|Socha|municipio|8592|9244|5.960498836|-72.68239784|15|Boyacá
15759|Sogamoso|municipio|139021|148745|5.646672053|-72.8709565|15|Boyacá
15761|Somondoco|municipio|3096|3328|4.970974064|-73.42878785|15|Boyacá
15762|Sora|municipio|3292|3519|5.580573191|-73.44371838|15|Boyacá
15763|Sotaquirá|municipio|8876|9550|5.763010553|-73.24352232|15|Boyacá
15764|Soracá|municipio|6481|6958|5.494890461|-73.31899997|15|Boyacá
15774|Susacón|municipio|2882|3107|6.215200578|-72.71575634|15|Boyacá
15776|Sutamarchán|municipio|6648|7142|5.640030759|-73.62598773|15|Boyacá
15778|Sutatenza|municipio|4575|4910|5.030711335|-73.41224401|15|Boyacá
15790|Tasco|municipio|6289|6757|5.882294313|-72.72626817|15|Boyacá
15798|Tenza|municipio|4143|4442|5.071413139|-73.42479699|15|Boyacá
15804|Tibaná|municipio|9781|10506|5.301116649|-73.3932521|15|Boyacá
15806|Tibasosa|municipio|14184|15233|5.747329389|-73.01114724|15|Boyacá
15808|Tinjacá|municipio|3563|3821|5.577566497|-73.67614572|15|Boyacá
15810|Tipacoque|municipio|3548|3802|6.42035349|-72.69463583|15|Boyacá
15814|Toca|municipio|9540|10253|5.580254287|-73.1606969|15|Boyacá
15816|Togüí|municipio|4659|5011|5.921830062|-73.48921806|15|Boyacá
15820|Tópaga|municipio|3906|4185|5.765350303|-72.83672958|15|Boyacá
15822|Tota|municipio|5627|6053|5.501297215|-72.99633297|15|Boyacá
15832|Tununguá|municipio|1645|1771|5.720301516|-73.94330927|15|Boyacá
15835|Turmequé|municipio|6598|7084|5.305697418|-73.50908714|15|Boyacá
15837|Tuta|municipio|9008|9676|5.678126998|-73.17343053|15|Boyacá
15839|Tutazá|municipio|2204|2352|6.078051903|-72.85707832|15|Boyacá
15842|Úmbita|municipio|8120|8748|5.217241368|-73.46338477|15|Boyacá
15861|Ventaquemada|municipio|17192|18456|5.383385481|-73.52097942|15|Boyacá
15879|Viracachá|municipio|3024|3267|5.440558216|-73.26627456|15|Boyacá
15897|Zetaquira|municipio|4996|5365|5.285635983|-73.16763091|15|Boyacá
17001|Manizales|municipio|459262|475168|5.08343301|-75.50727881|17|Caldas
17013|Aguadas|municipio|23649|24426|5.616204006|-75.4554471|17|Caldas
17042|Anserma|municipio|37757|39021|5.20029922|-75.75289078|17|Caldas
17050|Aranzazu|municipio|10910|11276|5.265539969|-75.47392619|17|Caldas
17088|Belalcázar|municipio|10995|11340|4.99467728|-75.81225989|17|Caldas
17174|Chinchiná|municipio|53884|55760|4.974340569|-75.65954686|17|Caldas
17272|Filadelfia|municipio|11779|12162|5.285743777|-75.58978784|17|Caldas
17380|La Dorada|municipio|75837|78491|5.410515691|-74.72114262|17|Caldas
17388|La Merced|municipio|6312|6545|5.393185716|-75.55791071|17|Caldas
17433|Manzanares|municipio|18872|19556|5.23295391|-75.15263447|17|Caldas
17442|Marmato|municipio|9341|9634|5.492632029|-75.60209955|17|Caldas
