id|type|name|placeId|parentId|parentName|lat|lng
81220|municipio|Cravo Norte|ChIJ3S0SfO_ocY4REPOuTLHE70I|81|Arauca|6.304349999999999|-70.202659
52224|municipio|Cuaspud Carlosama|ChIJx1RzfmtoKY4RND1Sd1krILY|52|Nariño|0.8630625|-77.7281414
15223|municipio|Cubará|ChIJQSwXFM3IaI4Rr_AL-OR5rN4|15|Boyacá|7.00178|-72.108186
50223|municipio|Cubarral|ChIJK3RGCkNmPo4RKJa1iYZUEQg|50|Meta|3.766667|-73.833333
15224|municipio|Cucaita|ChIJ1-oUsHp_ao4RyMabVV4MDTY|15|Boyacá|5.543296|-73.454842
25224|municipio|Cucunubá|ChIJST9m5bk-QI4RDiWAAVvXUD0|25|Cundinamarca|5.250212299999999|-73.76610629999999
54223|municipio|Cucutilla|ChIJEV_AxZbTZ44R-B53BAxqu3A|54|Norte de Santander|7.539222400000001|-72.7726479
15226|municipio|Cuítiva|ChIJNyxuj8Bbao4R2nAx1url0Ow|15|Boyacá|5.5804616|-72.965985
50226|municipio|Cumaral|ChIJvSmXMZTVP44Ro95ib6XPpRA|50|Meta|4.271262|-73.48805200000001
99773|municipio|Cumaribo|ChIJH_ZHXnv2DI4RcCReohjKP-k|99|Vichada|4.4234452|-69.2877535
52227|municipio|Cumbal|ChIJRV5Ulg7hK44RSDEq5pEz5VA|52|Nariño|0.9043808|-77.9510209
52233|municipio|Cumbitara|ChIJhyjrlkSNLo4R7PzV_5AknKc|52|Nariño|1.6479737|-77.57850549999999
73226|municipio|Cunday|ChIJd96tzp7EPo4RbjLXNSEZ-go|73|Tolima|4.060503|-74.69189
18205|municipio|Curillo|ChIJNzmHphlwJo4R2hLbsW2OoJU|18|Caquetá|1.0340079|-75.9214427
68229|municipio|Curití|ChIJ113l7xS4aY4RrCLHHCFknpQ|68|Santander|6.606332|-73.0687493
20228|municipio|Curumaní|ChIJu0u5_ZshXo4RJugFMwOw5HI|20|Cesar|9.201062|-73.5425659
05234|municipio|Dabeiba|ChIJ13TsyZ5wRY4R5DJhNufDv68|05|Antioquia|6.997374|-76.256824
76233|municipio|Dagua|ChIJOzKThNhMN44Reu6hVZr0rRs|76|Valle del Cauca|3.658519|-76.6908459
44090|municipio|Dibulla|ChIJUZ2oOEMyi44RXlgSPAdydio|44|La Guajira|11.101302|-73.4180211
44098|municipio|Distracción|ChIJp0yenScDi44Rcok9A-I8nOA|44|La Guajira|10.8969801|-72.8865193
73236|municipio|Dolores|ChIJWT3C3mmmPo4RisJ2BEuDycs|73|Tolima|3.67109|-74.74951999999999
05237|municipio|Donmatías|ChIJPQDs9vs-RI4R6DAZj2zcYk4|05|Antioquia|6.485702|-75.39383099999999
66170|municipio|Dosquebradas|ChIJhyRrTd-AOI4ReAs5SWb4f5s|66|Risaralda|4.8318256|-75.68056779999999
15238|municipio|Duitama|ChIJc2EvoQw_ao4Rbt730lU6BGo|15|Boyacá|5.8268951|-73.0329273
54239|municipio|Durania|ChIJd4J4hFk0Zo4R6LOjzxbW15A|54|Norte de Santander|7.714685|-72.6562189
05240|municipio|Ebéjico|ChIJcdlxhaXTRY4RoA1IgOCzEjw|05|Antioquia|6.326906|-75.76734499999999
76243|municipio|El Águila|ChIJVQ1VWn51OI4RVM8jMade9Ig|76|Valle del Cauca|4.9083995|-76.0417277
05250|municipio|El Bagre|ChIJRbz6hdytXI4RbsZWMBpcY2E|05|Antioquia|7.6049669|-74.8090098
47245|municipio|El Banco|ChIJ_R0l-9NxXo4RpQKP8mwhcwc|47|Magdalena|9.003506999999999|-73.97386399999999
76246|municipio|El Cairo|ChIJobeSlS0OOI4RRnwYsgGj8w8|76|Valle del Cauca|4.760770400000001|-76.2216962
50245|municipio|El Calvario|ChIJgcFDPRDPP44ReDqTRbtBqcs|50|Meta|4.352332|-73.712966
27135|municipio|El Cantón del San Pablo|ChIJKb_28qxuSI4RWP0AXBj2_UM|27|Chocó|5.33893|-76.73137
27245|municipio|El Carmen de Atrato|ChIJkZbgDjEiRo4RimSvF29amW8|27|Chocó|5.8998577|-76.14223179999999
13244|municipio|El Carmen de Bolívar|ChIJv3UKQEXQWI4RSmDrD9d7VI0|13|Bolívar|9.7180213|-75.1209887
68235|municipio|El Carmen de Chucurí|ChIJ24fmM-B4Qo4RMDtzEDQBVmY|68|Santander|6.6982412|-73.51117339999999
05148|municipio|El Carmen de Viboral|ChIJ70GwWHmiRo4R5LyUaFsJVrQ|05|Antioquia|6.087915|-75.337488
54245|municipio|El Carmen|ChIJM3cMXOtfZ44RLFrJa4mh8to|54|Norte de Santander|8.49567|-73.44704
50251|municipio|El Castillo|ChIJSf0N1FLgPY4RbE5SRDijCjg|50|Meta|3.5651277|-73.7957024
76248|municipio|El Cerrito|ChIJMdAfJqn5OY4RWgrl_Z2cjZU|76|Valle del Cauca|3.684084|-76.312996
52250|municipio|El Charco|ChIJCfr6ENgELo4RcN6D7A2i7Os|52|Nariño|2.1364332|-77.973865
15244|municipio|El Cocuy|ChIJxbNdLJJsaY4RIkMSpYtKnnE|15|Boyacá|6.408891|-72.4454499
25245|municipio|El Colegio|ChIJr8NlrxltP44RCAl-BFqdskI|25|Cundinamarca|4.584194999999999|-74.445236
20238|municipio|El Copey|ChIJJ3XruD-JX44RzHu_TdN7mKk|20|Cesar|10.148976|-73.960233
18247|municipio|El Doncello|ChIJWYqkrNtmJI4RWLarfwW0_cM|18|Caquetá|1.680042|-75.2833349
50270|municipio|El Dorado|ChIJC6yZFh2lF44RRrPnThckKzY|50|Meta|2.7792|-72.87196999999999
76250|municipio|El Dovio|ChIJG9BJQWM7OI4R9BhGOyTJ7vg|76|Valle del Cauca|4.5081065|-76.2371857
91263|área no municipalizada|El Encanto|ChIJh88AeS9x55ER5Tyxga5BNn4|91|Amazonas|-1.7471448|-73.20910099999999
15248|municipio|El Espino|ChIJ7akSTGcSaY4R0y4NbhqcGF4|15|Boyacá|6.4864|-72.43285999999999
68245|municipio|El Guacamayo|ChIJ59zKTTwHQo4RbPwK9CgVSh4|68|Santander|6.245051|-73.49765099999999
13248|municipio|El Guamo|ChIJFwhSJDGzWI4R3IDxEHrI_kg|13|Bolívar|10.031243|-74.97610999999999
